name,address,latitude,longitude
강서바른세상병원,"서울특별시 강서구 금낭화로 9, 바른세상병원 1~7층 (방화동)",37.5661467,126.8116185
강서송도병원,"서울특별시 강서구 공항대로 315, (등촌동, 서울시니어강서타워)",37.5585273,126.8427872
강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",37.537373,126.8367214
강서푸른꿈성모어린이병원,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",37.5592839,126.8457301
강서힘찬병원,"서울특별시 강서구 강서로56길 38, 강서힘찬병원 (등촌동)",37.5592035,126.8406822
강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",37.5023107,127.0942945
건양의료재단 김안과병원,"서울특별시 영등포구 영신로 136, (영등포동4가)",37.5197392,126.9014955
고도일병원,"서울특별시 서초구 강남대로 505, (반포동, 고도일 병원)",37.5070301,127.0227848
고은빛여성병원,"서울특별시 강동구 천호대로 1151, (길동)",37.5341574,127.1393602
공안과병원,"서울특별시 강동구 풍성로37길 45, (성내동)",37.533932,127.1260445
광혜병원,"서울특별시 강남구 영동대로86길 9, (대치동, 지하1~2층,2~7층)",37.5081452,127.0647911
국립재활원,"서울특별시 강북구 삼각산로 58, 국립재활원 (수유동)",37.6388781,127.0105162
금강아산병원(재단법인 아산사회복지재단),"서울특별시 용산구 이촌로 318, (이촌동)",37.5176285,126.9818432
금천수병원,"서울특별시 금천구 남부순환로 1400, 1층~9층 (독산동)",37.4800294,126.9064303
김정수여러분병원,"서울특별시 강남구 봉은사로 171, (논현동, 지하1층일부,1-5층,6층일부)",37.5072251,127.0325991
나누리병원,"서울특별시 강남구 언주로 731, 나누리병원 (논현동)",37.5203058,127.034005
날개병원,"서울특별시 동대문구 무학로 193-1, (용두동)",37.5816364,127.0295094
남기세병원,"서울특별시 강동구 천호대로 1133, (길동)",37.5346934,127.137523
낭만병원,"서울특별시 동작구 동작대로 67, (사당동)",37.4825532,126.9814925
누네안과병원,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)",37.5044651,127.0504171
뉴민병원,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",37.4930421,126.9899521
뉴스타트병원,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",37.4991188,127.1194989
늘찬병원,"서울특별시 중랑구 동일로 643, 화성빌딩 지하1, 2~8층 (면목동)",37.587994,127.0796571
다일천사병원,"서울특별시 동대문구 서울시립대로 57, 천사병원 B1,1,2,3,6층 (전농동)",37.5765433,127.0477019
달려라병원,"서울특별시 강동구 천호대로 1110, 지하5~지상9층 (성내동)",37.5347217,127.1347351
담소유병원,"서울특별시 강남구 학동로 234, 담소유빌딩 (논현동)",37.5148664,127.0346344
대항병원,"서울특별시 서초구 남부순환로 2151, (방배동)",37.475619,126.9878808
더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",37.5009956,127.0509906
더서울병원,"서울특별시 성북구 아리랑로 16, 3~7층 (동선동4가)",37.5942338,127.0165047
더셀채원병원,"서울특별시 강동구 성내로 66, 채원자연통합병원빌딩 (성내동)",37.527672,127.1270901
더힐병원,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",37.4987751,127.1204037
덕수의료재단 서울브레인병원,"서울특별시 영등포구 영신로34길 5, (영등포동4가)",37.5200503,126.9018257
두발로병원,"서울특별시 강남구 압구정로30길 45, 2~4층 (신사동)",37.5243393,127.0294194
디앤에프병원,"서울특별시 중랑구 봉화산로 64, (중화동, 디엔에프병원)",37.601489,127.0814897
러스크서울병원,"서울특별시 중랑구 망우로 470, (망우동)",37.6001415,127.1043415
로이병원,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",37.6068376,126.9690288
리더스병원,"서울특별시 강동구 천호대로 1044, (성내동)",37.5369609,127.1277443
리드힐병원,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",37.6000012,126.9164512
린여성병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",37.572328,127.0698145
마디세상병원,"서울특별시 중랑구 동일로 890, (묵동)",37.6098944,127.0782087
메드렉스병원,"서울특별시 강남구 논현로 705, 메드렉스병원 (논현동)",37.5148973,127.0299828
메디아이여성병원,"서울특별시 노원구 노원로 448, (상계동, 메디아이여성병원)",37.6564674,127.067062
메디힐병원,"서울특별시 양천구 남부순환로 331, (신월동, 메디힐병원)",37.5372174,126.8278769
모두가행복한연세병원,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)",37.5217105,127.0392399
목동제일여성병원,"서울특별시 양천구 중앙로 300, (신정동)",37.5230563,126.8518725
목동현대웰병원,"서울특별시 구로구 중앙로 91, 본소클리닉스 (고척동)",37.505574,126.8604343
미래본병원,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",37.5153483,127.0995242
미병원,"서울특별시 강남구 논현로168길 35, 목산빌딩, 지하2층, 3~5층 (신사동)",37.5234744,127.0312234
민병원,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",37.6226164,127.0272803
민트병원,"서울특별시 송파구 정의로8길 7, 한스빌딩 1~4층 (문정동)",37.4862139,127.1159205
바로선병원,"서울특별시 도봉구 도봉로 628, (창동, 바로선병원)",37.6603375,127.0421237
바른본병원,"서울특별시 광진구 천호대로 630, (능동)",37.5537921,127.0871436
바른사랑병원,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 3,7층 (신림동)",37.4823204,126.9290563
반도정형외과병원,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",37.5560086,127.010117
방병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",37.6184022,127.0750336
방화병원,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",37.5732419,126.814012
본바움병원,"서울특별시 은평구 불광로 29, 3~11층 (대조동)",37.6110152,126.928917
본서부병원,"서울특별시 은평구 은평로 133, (응암동)",37.6007663,126.922605
비에비스나무병원,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,11층 (논현동)",37.5095709,127.0324057
비에스코아이비인후과병원,"서울특별시 강서구 강서로 323, 4~8층 (내발산동)",37.5546873,126.8365498
빠른병원,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)",37.5074505,127.1097102
사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",37.4796227,126.9562934
사랑플러스병원,"서울특별시 강동구 양재대로 1580, (명일동)",37.5466916,127.1436234
사회복지법인 성가소비녀회 성가복지병원,"서울특별시 성북구 종암로 191, (하월곡동)",37.6069387,127.0307411
삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",37.4912147,126.8404114
새길병원,"서울특별시 영등포구 영중로 59, (영등포동6가)",37.5216832,126.9046993
새로운병원,"서울특별시 강남구 학동로 121, 새로운병원빌딩 지하1층일부~7층 (논현동)",37.5122594,127.0243422
새숨병원,"서울특별시 송파구 정의로8길 4, KDG70타워 2,3,4층 (문정동)",37.485699,127.1157088
새움병원,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",37.4730529,126.8976554
새힘병원,"서울특별시 노원구 노원로 416, (상계동)",37.6537182,127.0679083
서울21세기병원,"서울특별시 서초구 서초중앙로 39, (서초동)",37.4852908,127.0157273
서울고든병원,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1,2,7,8,층 9,10호 (등촌동)",37.5554814,126.8646913
서울나은병원,"서울특별시 동대문구 왕산로 137, (제기동)",37.5785713,127.0387505
서울노보스병원,"서울특별시 도봉구 도봉로 755, (도봉동)",37.6718832,127.0436246
서울대효병원,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",37.4544278,126.9012036
서울대효병원,"서울특별시 강서구 강서로47가길 33, 덕산빌딩 2,3,4,5,6층 (내발산동)",37.5511213,126.835767
서울라본병원,"서울특별시 중랑구 망우로 476, (망우동)",37.6003119,127.1050937
서울미즈병원,"서울특별시 강동구 천호대로 1043, (천호동)",37.5376208,127.128117
서울바른병원,"서울특별시 영등포구 여의대방로 145, 2~7층 (신길동, 세인트빌딩)",37.5002105,126.9199903
서울바른세상병원,"서울특별시 금천구 시흥대로 421, (독산동, 건국빌딩)",37.4712438,126.8978236
서울병원,"서울특별시 은평구 진흥로 191, (대조동)",37.608851,126.9307507
서울병원,"서울특별시 송파구 오금로 290, (가락동)",37.5039282,127.1247204
서울본브릿지병원,"서울특별시 강남구 도곡로 214, 롤스웰빌딩,지하2층, 지하1층, 지상1층 일부, 지상2~7층  (도곡동)",37.4924788,127.0424459
서울본원병원,"서울특별시 송파구 백제고분로 407, (송파동, 지하 2층~7층)",37.5075981,127.1099004
서울석병원,"서울특별시 송파구 송이로 148, (가락동)",37.4937452,127.1240445
서울세계로병원,"서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)",37.4866428,127.1422629
서울센트럴병원,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",37.4810595,126.9516001
서울송도병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",37.5513137,127.0082458
서울숭인병원,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",37.5740802,127.0203571
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",37.5532563,126.8362212
서울안강병원,"서울특별시 서초구 효령로 331, GL(지엘)빌딩 지하1~3층,2~8층 (서초동)",37.486403,127.0203545
서울연세병원,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",37.5424658,126.9403129
서울원병원,"서울특별시 강서구 강서로 179, 6~10층 (화곡동)",37.5423627,126.8393222
서울유병원,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",37.6160691,127.0295679
서울재활병원,"서울특별시 은평구 갈현로11길 30, (구산동)",37.6057782,126.9068531
서울정병원,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)",37.5796409,127.087993
서울척병원,"서울특별시 성북구 동소문로47길 8, (길음동)",37.6088446,127.0293037
서울큰나무병원,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",37.5444824,126.8380461
서울탑병원,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",37.5814284,127.0360278
서울특별시 북부병원,"서울특별시 중랑구 양원역로 38, (망우동)",37.604325,127.1077447
서울특별시서북병원,"서울특별시 은평구 갈현로7길 49, (역촌동)",37.60421,126.9044499
서울특별시어린이병원,"서울특별시 서초구 헌릉로 260, (내곡동)",37.4557936,127.0689282
서울퍼스트병원,"서울특별시 관악구 은천로 51, (봉천동, 2,3,4,5,6층)",37.4862977,126.9411916
서울프라임병원,"서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)",37.5408266,127.0635902
서울필병원,"서울특별시 강서구 강서로 357, (내발산동)",37.5576762,126.8374154
서울호흡안심병원,"서울특별시 서대문구 세무서길 20, (홍제동)",37.5889296,126.9458032
서재곤링커병원,"서울특별시 송파구 백제고분로 436, (송파동, 서재곤링커병원)",37.5094802,127.1120917
선수촌병원,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",37.5115631,127.0792026
선한목자병원,"서울특별시 강남구 논현로 507, (역삼동, 성지하이츠3차빌딩 2층,3층일부)",37.5015847,127.0361824
성북우리아이들병원,"서울특별시 성북구 동소문로46길 10, (하월곡동)",37.6068633,127.0293592
세바른병원,"서울특별시 서초구 서초중앙로 47, (서초동)",37.4859524,127.0153417
세솟는정형외과병원,"서울특별시 마포구 백범로 26, 세솟는병원 (신수동)",37.5523808,126.9371026
솔병원,"서울특별시 강서구 방화대로 352, 1~4층 (방화동)",37.572376,126.8173869
송파드림재활병원,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)",37.4967206,127.1221669
신세계서울병원,"서울특별시 영등포구 경인로 841, 서울영등포동4가우체국 2,6,7,9~11층 (영등포동4가)",37.5165276,126.90606
신일병원,"서울특별시 강북구 덕릉로 73, (수유동)",37.6347937,127.0218488
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",37.5525983,126.9337712
실로암안과병원,"서울특별시 강서구 등촌로 181, (등촌동, 실로암안과병원)",37.5460226,126.8622776
심정병원,"서울특별시 관악구 남부순환로 1485, 삼남빌딩 2~6층 (신림동)",37.4823639,126.9156675
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",37.5054584,126.8905378
아이디병원,"서울특별시 강남구 도산대로 142, 아이디병원 B1층,1,2,3층 (논현동)",37.51768,127.0241884
아이비어린이병원,"서울특별시 구로구 목동남로 2, B1~B2, 2~8층 (고척동)",37.5066629,126.8604877
아카시아병원,"서울특별시 금천구 시흥대로114길 5, (독산동)",37.4680986,126.8985537
양병원,"서울특별시 강동구 천호대로 1159, (길동)",37.5340876,127.1401353
어울림병원,"서울특별시 영등포구 영등포로 386, (신길동, 동인빌딩)",37.5133082,126.9209727
에스앤유서울병원,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 3,4,5,6층 (마곡동)",37.5594527,126.8339126
에이치큐브병원,"서울특별시 도봉구 도봉로 604, (창동)",37.6583201,127.0410736
엔플러스병원,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 (장안동)",37.5754527,127.0726089
엠에스병원,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",37.5020324,127.096637
연세건우병원,"서울특별시 관악구 남부순환로 1909, 의현빌딩 지하1, 2층~7층층 (봉천동)",37.4781316,126.96162
연세노블병원,"서울특별시 은평구 서오릉로 37, (녹번동)",37.6040714,126.9244756
연세동작병원,"서울특별시 동작구 성대로 43, (상도동, 우리빌딩)",37.4989812,126.9336821
연세무척나은병원,"서울특별시 광진구 천호대로 568, (능동)",37.5562714,127.0809144
연세바로척병원,"서울특별시 성동구 동일로 133, (성수동2가)",37.5444078,127.0649225
연세바른병원,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",37.4843925,126.9805813
연세사랑모아여성병원,"서울특별시 구로구 중앙로 100, (고척동)",37.5063641,126.8606071
연세사랑병원,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",37.4740477,126.9937383
연세산돌병원,"서울특별시 중랑구 봉우재로 234, 연세산돌병원 지하1층~7층 (망우동)",37.595185,127.0988923
