name,park_type,address,latitude,longitude,park_area,district_name
무궁화공원,어린이공원,서울특별시 강동구 양재대로124길62(길동),37.5423345,127.1454038,996.3,강동구
달님공원,어린이공원,서울특별시 강동구 양재대로112길52(길동),37.53621038,127.142551,998.6,강동구
안말공원,어린이공원,서울특별시 강동구 풍성로45길11(성내동),37.531236,127.129903,2290.3,강동구
보람공원,어린이공원,서울특별시 강동구 양재대로85길59(성내동),37.52471702,127.131302,989.9,강동구
선린공원,어린이공원,서울특별시 강동구 양재대로91길59(성내동),37.52851478,127.132711,1575.2,강동구
성안공원,어린이공원,서울특별시 강동구 양재대로97길41(성내동),37.531369,127.134773,1057.1,강동구
혜림공원,어린이공원,서울특별시 강동구 천중로39길77(천호동),37.54460149,127.139905,992.0,강동구
명일공원,근린공원,서울특별시 강동구 구천면로587(상일동),37.5512577,127.1634092,649709.6,강동구
일자산공원,근린공원,서울특별시 강동구 동남로 660(둔촌동),37.5330568,127.1513563,632733.0,강동구
광진공원,어린이공원,서울특별시 강동구 구천면로13길21(천호동),37.542946,127.122505,1672.7,강동구
고분다리공원,어린이공원,서울특별시 강동구 구천면로39길23(천호동),37.54540502,127.131821,1621.8,강동구
천사공원,어린이공원,서울특별시 강동구 천중로12길23-23(천호동),37.54380935,127.1284086,1617.2,강동구
선사공원,어린이공원,서울특별시 강동구 올림픽로 836(암사동),37.55576061,127.1299975,1610.3,강동구
볕우물공원,어린이공원,서울특별시 강동구 고덕로24길23(암사동),37.553613,127.135704,1552.8,강동구
광나루공원,어린이공원,서울특별시 강동구 상암로12-19(암사동),37.5500717,127.1255454,1637.7,강동구
새장터공원,어린이공원,서울특별시 강동구 암사1가길16(암사동),37.55212624,127.130563,1592.0,강동구
염주골공원,어린이공원,서울특별시 강동구 양재대로138길29(명일동),37.549932,127.1456059,991.3,강동구
샘물공원,어린이공원,서울특별시 강동구 양재대로1630(명일동),37.5510159,127.1447414,992.1,강동구
옥계,어린이공원,서울특별시 금천구 시흥대로86길 20,37.460149,126.900302,1058.6,금천구
무지개,어린이공원,서울특별시 금천구 시흥대로90길 60-3,37.46282267,126.9009392,972.1,금천구
다람쥐,어린이공원,서울특별시 금천구 벚꽃로18길 33,37.46824515,126.8908193,1019.6,금천구
두산,어린이공원,서울특별시 금천구 시흥대로123길 91,37.47303262,126.8942618,974.9,금천구
철쭉,어린이공원,서울특별시 금천구 금하로1마길 15-8,37.45288913,126.8896337,1501.6,금천구
참새,어린이공원,서울특별시 금천구 한내로 55,37.45695474,126.8871937,1500.1,금천구
조마,어린이공원,서울특별시 금천구 시흥대로149가길 6,37.47561479,126.8955477,1003.0,금천구
금천폭포공원,근린공원,서울특별시 금천구 시흥대로38길 61,37.44639673,126.9044447,4835.2,금천구
독산근린공원,근린공원,서울특별시 금천구 범안로 1096,37.46327361,126.8849344,18005.5,금천구
금천체육공원,근린공원,서울특별시 금천구 독산로54길 102-27,37.468313,126.908522,18083.0,금천구
산기슭공원,근린공원,서울특별시 금천구 독산로54길 6,37.46364031,126.9076165,8412.0,금천구
무학봉,근린공원,서울특별시 성동구 난계로 114-31,37.56123125,127.0259523,28843.0,성동구
달맞이,근린공원,서울특별시 성동구 독서당로40길 25,37.5433496,127.0193024,63411.43,성동구
응봉,근린공원,서울특별시 성동구 독서당로63길 85(금호동1가),37.55374193,127.0273495,417284.88,성동구
금동,어린이공원,서울특별시 성동구 무수막길 16,37.54942229,127.0256915,2591.0,성동구
살구골,어린이공원,서울특별시 성동구 고산자로 177,37.55573009,127.0335764,1573.9,성동구
도선,어린이공원,서울특별시 성동구 무학로8길 8 도선동공영주차장,37.56550468,127.031418,2332.5,성동구
도장골,소공원,서울특별시 성동구 행당로 82,37.55480888,127.0273997,678.3,성동구
무지개,어린이공원,서울특별시 성동구 성수이로7길 27,37.54157394,127.0534386,2143.0,성동구
보람,어린이공원,서울특별시 성동구 마장로 255,37.56613727,127.0381819,823.3,성동구
상원,어린이공원,서울특별시 성동구 상원길 39,37.54753298,127.0483982,2636.0,성동구
응삼,어린이공원,서울특별시 성동구 고산자로 160,37.55433983,127.0348842,1646.7,성동구
미소,어린이공원,서울특별시 성동구 난계로 95,37.56051006,127.0235037,3411.0,성동구
송정,어린이공원,서울특별시 성동구 동일로 263-49,37.55519167,127.0703837,236.4,성동구
서마장,어린이공원,서울특별시 성동구 청계천로10가길 102,37.57152303,127.0374347,350.3,성동구
응봉개나리,어린이공원,서울특별시 성동구 독서당로62가길 62,37.54866971,127.0318722,462.0,성동구
열림,어린이공원,서울특별시 성동구 성수이로12길 14,37.53962218,127.056782,198.0,성동구
아남,어린이공원,서울특별시 성동구 아차산로15길 52,37.54732598,127.0646691,984.1,성동구
은행나무터,어린이공원,서울특별시 성동구 연무장길 37-29,37.54369439,127.0537509,675.4,성동구
성삼,어린이공원,서울특별시 성동구 성수이로18길 31,37.54195313,127.0606155,1812.2,성동구
마장,어린이공원,서울특별시 성동구 마조로 51-2,37.56233458,127.0415003,911.0,성동구
응봉새말,어린이공원,서울특별시 성동구 고산자로2길 6-12,37.55186593,127.035857,311.0,성동구
