name,station_no,node_id,latitude,longitude
상명대정문,100000180,01278,37.601417,126.955143
이북오도청,100000181,01279,37.6127234824,126.9559729686
경복궁역(효자로입구),100000419,01280,37.576709505,126.9743023448
상명대입구.세검정교회,100000188,01286,37.5994435122,126.9597921957
상명대입구.석파랑,100000189,01287,37.5995718125,126.9581941404
종로중부새마을금고,100000190,01288,37.5724174899,127.0065911394
신설동역오거리.서울풍물시장,100000191,01289,37.5742548131,127.0231950517
청계2가.삼일교,100000192,01291,37.5683454305,126.9869890809
청계8가.황학교,100000193,01292,37.5721307298,127.0227870051
평창동삼성아파트,100000355,01293,37.6111800895,126.9787981475
안국역5번출구,100000370,01294,37.5763329308,126.9855365486
안국역.서울공예박물관,100000369,01295,37.5764140065,126.9848871214
창덕궁,100000371,01296,37.5772280879,126.9890031166
남인사마당,100000413,01297,37.5713191723,126.9874286375
평창파출소,100900047,01500,37.605681218,126.9668167021
삼청공원,100900178,01501,37.5882276807,126.9816468946
수성동계곡,100900041,01502,37.5820813834,126.9644678921
명륜3가종점,100900040,01503,37.5909483783,126.9928636796
명륜새마을금고,100900197,01504,37.5877854691,126.9967901477
서대문역3번출구,100900044,01505,37.5663370645,126.9663939394
낙산공원,100900039,01506,37.5804037213,127.0087215681
인사미술공간.세탁소,100900037,01507,37.5814109836,126.9893670844
화정박물관,100900036,01508,37.6048011982,126.9648837454
금융연수원,100900035,01509,37.5866398268,126.9816582681
박노수미술관,100900034,01510,37.5809967425,126.966603478
샘미용실.종로구청소년상담복지센터,100900032,01511,37.5903095275,126.9932227051
서울국제고등학교,100900031,01512,37.5890715947,126.9972902593
화정박물관,100900029,01513,37.6049806084,126.9652007897
적십자병원후문앞,100900188,01514,37.5673466781,126.96544493
서울성곽.성대후문,100900202,01515,37.5893663808,126.989569366
빨래터.고희동미술관,100900026,01516,37.582987218,126.9890634276
세검초등학교,100900025,01517,37.6042522792,126.9614907597
삼청동주민센터,100900024,01518,37.5842638281,126.9819071619
