name,category,address,latitude,longitude,district_name
명인에듀중계지점(명인하,academy,서울특별시 노원구 한글비석로 235,37.6488004915869,127.076351549406,노원구
맥퀸즈플라워학원,academy,서울특별시 강남구 도산대로81길 23,37.5259113324791,127.047231241077,강남구
잇올스파르타노원중계2독학재수학원,academy,서울특별시 노원구 한글비석로 231,37.6482238847191,127.076316964945,노원구
노브랜드강서,mart,서울특별시 강서구 양천로 410,37.5648072468132,126.846517774334,강서구
매직오피스,academy,서울특별시 동대문구 황물로 42,37.5733312904894,127.046197088772,동대문구
세븐대치동일점,mart,서울특별시 강남구 테헤란로114길 38,37.5071248602044,127.067000654367,강남구
위드미도봉방학로점,mart,서울특별시 도봉구 방학로 33,37.6621497357068,127.048575444728,도봉구
씨유양양더앤리조트점,mart,서울특별시 강동구 천호대로 1124,37.5343386941726,127.136188333762,강동구
이마트,mart,서울특별시 은평구 은평로 111,37.6008298770612,126.920504074847,은평구
야채왕우리농산물창신동지점,mart,서울특별시 종로구 종로 325,37.5727538868772,127.013708464595,종로구
서울이엔지,mart,서울특별시 영등포구 국제금융로6길 33,37.5207894785865,126.926912532852,영등포구
롯데마트월드문화비,mart,서울특별시 송파구 올림픽로 300,37.5137470965818,127.104446092283,송파구
리딩엠삼성지점,academy,서울특별시 강남구 학동로68길 7,37.5176132930154,127.046739610978,강남구
교암,academy,서울특별시 서초구 강남대로 365,37.4953282722253,127.028349801647,서초구
기파랑문해원,academy,서울특별시 강남구 삼성로 306,37.4994516028939,127.060887003879,강남구
세븐일레븐경북과학대점,mart,서울특별시 마포구 마포대로 137,37.5467964595349,126.952608476536,마포구
중등와이즈만씨앤아이보습학원,academy,서울특별시 양천구 목동동로 379,37.5356073259864,126.878710331218,양천구
목동실내운전면허드라이빙존,academy,서울특별시 양천구 오목로 331,37.524889829564,126.874315727105,양천구
국제금융회계아카데미,academy,서울특별시 서초구 서초대로60길 9-46,37.4946543508735,127.019246481497,서초구
예섬,academy,서울특별시 강남구 삼성로63길 5,37.4998756987524,127.059665982523,강남구
씨제이올리브영남부,mart,서울특별시 서초구 효령로 283,37.4850141808945,127.015026608115,서초구
GS25개봉로점,convenience,서울특별시 구로구 개봉로17나길 88,37.4941741876529,126.850733339989,구로구
GS수퍼,mart,서울특별시 영등포구 선유로 75,37.5208140305289,126.88903960161,영등포구
상상플렉스,academy,서울특별시 동대문구 전농로 111,37.5748851317558,127.057325879631,동대문구
세븐일레븐호텔점,mart,서울특별시 종로구 종로 286,37.5708531296837,127.010346175251,종로구
맹드라이브실내운전연습장건대화양점,academy,서울특별시 광진구 광나루로 394,37.5472246345795,127.07341880377,광진구
명성할인마트,mart,서울특별시 종로구 창신5라길 13,37.5739072923701,127.012520062494,종로구
노브랜드강남,mart,서울특별시 강남구 삼성로 633,37.5162960149681,127.051116308841,강남구
코레일유통,convenience,서울특별시 용산구 한강대로 405,37.5548394905799,126.971729524861,용산구
국풀교육,academy,서울특별시 송파구 석촌호수로 80,37.5091125523036,127.086320481566,송파구
홈플러스도서서울남현점문화비,mart,서울특별시 관악구 과천대로 909,37.471462653452,126.982466470324,관악구
씨유대림,convenience,서울특별시 영등포구 대림로31길 40,37.4958703460619,126.894640217412,영등포구
씨제이올리브영올리브영,mart,서울특별시 서대문구 이화여대길 18,37.5576776490443,126.945935477205,서대문구
청산학원,academy,서울특별시 강서구 강서로 183,37.5424703964349,126.838903075158,강서구
이마트,mart,서울특별시 강남구 역삼로 310,37.4992321172872,127.048424478495,강남구
노브랜드노원,mart,서울특별시 노원구 중계로 119,37.6459859135187,127.081594947221,노원구
씨제이올리브영올리브영,mart,서울특별시 강남구 논현로175길 6,37.5263679774278,127.027920339102,강남구
장로회식학대학교,academy,서울특별시 광진구 광장로5길 25-1,37.5498512322794,127.103274270603,광진구
와이즈만영재교육대치센터,academy,서울특별시 강남구 도곡로 418,37.4969581151446,127.056248493621,강남구
오아시스상일,mart,서울특별시 강동구 구천면로 636,37.5501817909731,127.168378731098,강동구
동작구청동작구민체육센터,academy,서울특별시 동작구 여의대방로16길 53,37.4947167024106,126.916771909965,동작구
GS25가산대륭점,mart,서울특별시 금천구 가산디지털1로 25,37.4682826508417,126.886200814697,금천구
세븐남대문본점,mart,서울특별시 중구 남대문로 56,37.5622837279684,126.981924563297,중구
지앤에듀,academy,서울특별시 마포구 월드컵북로 99,37.5621908871249,126.9142295074,마포구
에스엠논술학원,academy,서울특별시 양천구 오목로 202,37.5253781190777,126.859857169995,양천구
인베스트,academy,서울특별시 송파구 중대로 267,37.5048912918978,127.130547836489,송파구
에스엔아카데미,academy,서울특별시 중랑구 신내로 71,37.6055485183524,127.095118009359,중랑구
제2대치피엠디아카데미,academy,서울특별시 강남구 역삼로 448,37.502102895718,127.056173187944,강남구
이마트24R중곡역점,mart,서울특별시 광진구 능동로 400,37.5650570071337,127.084449480564,광진구
