district_name,name,category,course,address
금천구,파인스잉글리쉬영어교습소,입시.검정 및 보습,,서울특별시 금천구 벚꽃로 30
구로구,성균관영어학원,입시.검정 및 보습,,서울특별시 구로구 고척로 204
영등포구,리드인영등포대방초독서논술교습소,입시.검정 및 보습,보습·논술,서울특별시 영등포구 여의대방로35길 5-1
영등포구,에이블영어교습소,입시.검정 및 보습,,서울특별시 영등포구 대림로8길 17
양천구,그리다미술교습소,예능(대),,서울특별시 양천구 신목로 77-2
도봉구,서쌤의영어독서교실영어교습소,입시.검정 및 보습,,서울특별시 도봉구 삼양로146길 14
송파구,프라우드국어도서관학원,입시.검정 및 보습,보습,서울특별시 송파구 새말로 138-1
양천구,피지에이온앤오프원격학원,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동서로 77
서대문구,가재울정이조주니어영어학원,국제화,외국어,서울특별시 서대문구 수색로 48
강남구,강남미술학원,예능(대),미술,서울특별시 강남구 강남대로 240
노원구,언어의정원독서논술교습소,입시.검정 및 보습,보습·논술,서울특별시 노원구 덕릉로 459-47
성동구,포레피아노음악학원,예능(대),음악,서울특별시 성동구 무수막길 80
노원구,몬스터영수학원,입시.검정 및 보습,,서울특별시 노원구 석계로 49
서대문구,독립문플라즈마학원,입시.검정 및 보습,보습,서울특별시 서대문구 연희로 407
종로구,케이와이영재토론수학학원2관,입시.검정 및 보습,보습,서울특별시 종로구 진흥로 484
용산구,핸드메이트공예학원,기예(대),"공예(종이접기,꽃꽂이,꽃기예)",서울특별시 용산구 효창원로64길 2
노원구,수학의숲학원,입시.검정 및 보습,보습,서울특별시 노원구 섬밭로 258
강동구,삼경수학교습소,입시.검정 및 보습,보습,서울특별시 강동구 고덕로27길 28
성북구,글로리영어교습소,입시.검정 및 보습,,서울특별시 성북구 보문로 183
강남구,압구정미술로생각하기학원,예능(대),,서울특별시 강남구 논현로157길 11
영등포구,최영독서논술교습소,입시.검정 및 보습,,서울특별시 영등포구 여의대방로35가길 19
양천구,목동시대인재유니아나학원,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동동로 377
중랑구,글로벌창조캠퍼스학원,입시.검정 및 보습,보습·논술,서울특별시 중랑구 봉화산로 218
은평구,이쌤영수학원,입시.검정 및 보습,,서울특별시 은평구 연서로15길 4
동작구,클라베피아노·플루트음악교습소,예능(대),음악,서울특별시 동작구 상도로30길 40
중랑구,중랑에이프릴어학원,국제화,,서울특별시 중랑구 봉화산로 194
동작구,튼튼원어민중국어교습소,국제화,외국어,서울특별시 동작구 만양로 19
서초구,박정규과학연구소원격학원,입시.검정 및 보습,,서울특별시 서초구 사평대로 18
강서구,레벤피아노음악교습소,예능(대),음악,서울특별시 강서구 마곡중앙1로 26
서대문구,루시영어교습소,국제화,,서울특별시 서대문구 통일로 420
서대문구,틀세움수학교습소,입시.검정 및 보습,,서울특별시 서대문구 북아현로1길 50
송파구,대치이쌤수학교습소,입시.검정 및 보습,보습,서울특별시 송파구 가락로28길 3
강동구,셈오름수학샤명관학원,입시.검정 및 보습,보습,서울특별시 강동구 동남로71길 20-10
도봉구,한우리독서토론논술쌍문금호논술교습소,입시.검정 및 보습,보습·논술,서울특별시 도봉구 해등로26길 7
중랑구,시그마과학한별관학원,입시.검정 및 보습,보습·논술,서울특별시 중랑구 봉화산로 194
강서구,마곡위더스학원,입시.검정 및 보습,보습·논술,서울특별시 강서구 방화대로 294
양천구,모디수학교습소,입시.검정 및 보습,보습,서울특별시 양천구 목동동로 385
동작구,참열공반관리형독서실,독서실,독서실(일반인),서울특별시 동작구 장승배기로28길 24
서초구,파서블에듀원격학원,입시.검정 및 보습,보습·논술,서울특별시 서초구 서초대로74길 45
강남구,대치엠에스지영재교육학원,입시.검정 및 보습,,서울특별시 강남구 삼성로71길 22
서초구,아키차일드학원,기타(대),,서울특별시 서초구 방배로32길 55
구로구,몽당연필수학학원,입시.검정 및 보습,보습,서울특별시 구로구 서해안로 2118
서초구,엘리하이키즈원격학원,종합(대),기타(중),서울특별시 서초구 효령로 321
서초구,엘리하이원격학원,입시.검정 및 보습,보습,서울특별시 서초구 효령로 321
서초구,이메진(IMAGEN)영어교습소,입시.검정 및 보습,보습,서울특별시 서초구 사임당로 158
강서구,위드유(withyou)영어교습소,입시.검정 및 보습,,서울특별시 강서구 방화대로7길 44
서초구,이지아카데미원격학원,인문사회(대),,서울특별시 서초구 서초대로24길 48
강남구,이강프리미엄독서실,독서실,,서울특별시 강남구 삼성로71길 11-3
구로구,더생각나무수학학원,입시.검정 및 보습,보습,서울특별시 구로구 구일로8길 56
서초구,탑과학교습소,입시.검정 및 보습,,서울특별시 서초구 잠원로 204
강동구,YCC학원,입시.검정 및 보습,보습,서울특별시 강동구 고덕로 256
