district_name,legal_dong,admin_code,admin_name
강동구,명일동,11740530,명일1동
강동구,명일동,11740540,명일2동
중구,만리동1가,11140680,중림동
중구,만리동2가,11140680,중림동
용산구,후암동,11170510,후암동
용산구,용산동2가,11170520,용산2가동
용산구,용산동4가,11170520,용산2가동
용산구,갈월동,11170530,남영동
용산구,남영동,11170530,남영동
용산구,용산동1가,11170530,남영동
용산구,동자동,11170530,남영동
용산구,서계동,11170555,청파동
중구,산림동,11140605,을지로동
종로구,와룡동,11110615,종로1·2·3·4가동
종로구,권농동,11110615,종로1·2·3·4가동
종로구,운니동,11110615,종로1·2·3·4가동
종로구,익선동,11110615,종로1·2·3·4가동
종로구,경운동,11110615,종로1·2·3·4가동
종로구,관철동,11110615,종로1·2·3·4가동
종로구,인사동,11110615,종로1·2·3·4가동
종로구,낙원동,11110615,종로1·2·3·4가동
종로구,종로2가,11110615,종로1·2·3·4가동
종로구,팔판동,11110540,삼청동
종로구,삼청동,11110540,삼청동
구로구,온수동,11530790,수궁동
구로구,천왕동,11530780,오류2동
구로구,항동,11530800,항동
금천구,가산동,11545510,가산동
금천구,독산동,11545630,독산3동
금천구,독산동,11545620,독산2동
금천구,독산동,11545610,독산1동
금천구,독산동,11545640,독산4동
금천구,시흥동,11545670,시흥1동
용산구,용산동5가,11170625,한강로동
용산구,한강로3가,11170625,한강로동
용산구,이촌동,11170630,이촌1동
송파구,잠실동,11710720,잠실7동
송파구,잠실동,11710680,잠실3동
송파구,잠실동,11710670,잠실2동
동작구,사당동,11590640,사당3동
동작구,사당동,11590630,사당2동
동작구,사당동,11590620,사당1동
동작구,대방동,11590660,대방동
강동구,고덕동,11740560,고덕2동
강동구,고덕동,11740550,고덕1동
강동구,길동,11740685,길동
강동구,둔촌동,11740690,둔촌1동
동대문구,답십리동,11230610,답십리2동
동대문구,장안동,11230650,장안1동
동대문구,장안동,11230660,장안2동
동대문구,청량리동,11230705,청량리동
노원구,중계동,11350621,중계1동
노원구,상계동,11350630,상계1동
노원구,상계동,11350670,상계5동
노원구,상계동,11350665,상계3·4동
노원구,상계동,11350720,상계10동
종로구,안국동,11110540,삼청동
종로구,인의동,11110615,종로1·2·3·4가동
종로구,예지동,11110615,종로1·2·3·4가동
종로구,원남동,11110615,종로1·2·3·4가동
종로구,홍지동,11110550,부암동
종로구,신영동,11110550,부암동
광진구,구의동,11215860,구의2동
광진구,구의동,11215870,구의3동
구로구,구로동,11530550,구로4동
구로구,구로동,11530560,구로5동
구로구,가리봉동,11530595,가리봉동
구로구,고척동,11530720,고척1동
구로구,고척동,11530730,고척2동
성북구,보문동3가,11290610,보문동
성북구,정릉동,11290640,정릉3동
성북구,정릉동,11290620,정릉1동
성북구,정릉동,11290630,정릉2동
성북구,정릉동,11290650,정릉4동
중구,을지로3가,11140605,을지로동
중구,입정동,11140605,을지로동
마포구,염리동,11440610,염리동
마포구,염리동,11440555,아현동
마포구,노고산동,11440600,대흥동
마포구,도화동,11440565,공덕동
관악구,신림동,11620715,난향동
관악구,신림동,11620775,난곡동
구로구,개봉동,11530760,개봉3동
구로구,개봉동,11530740,개봉1동
구로구,개봉동,11530750,개봉2동
구로구,오류동,11530770,오류1동
구로구,오류동,11530780,오류2동
종로구,사간동,11110540,삼청동
종로구,송현동,11110540,삼청동
중랑구,묵동,11260620,묵1동
중랑구,망우동,11260655,망우본동
중랑구,망우동,11260660,망우3동
중랑구,신내동,11260690,신내2동
중구,남대문로3가,11140520,소공동
중구,남대문로4가,11140540,회현동
강동구,성내동,11740650,성내2동
강동구,성내동,11740640,성내1동
동작구,신대방동,11590670,신대방1동
동작구,신대방동,11590680,신대방2동
영등포구,당산동6가,11560560,당산2동
영등포구,당산동,11560560,당산2동
영등포구,도림동,11560585,도림동
영등포구,문래동1가,11560605,문래동
영등포구,문래동2가,11560605,문래동
영등포구,문래동3가,11560605,문래동
송파구,삼전동,11710610,삼전동
영등포구,문래동4가,11560605,문래동
용산구,청파동1가,11170555,청파동
영등포구,문래동5가,11560605,문래동
영등포구,문래동6가,11560605,문래동
동대문구,회기동,11230710,회기동
동대문구,휘경동,11230720,휘경1동
서초구,방배동,11650620,방배3동
서초구,양재동,11650651,양재1동
서초구,양재동,11650652,양재2동
서초구,우면동,11650651,양재1동
성북구,길음동,11290685,길음2동
성북구,종암동,11290705,종암동
성북구,하월곡동,11290725,월곡2동
성북구,하월곡동,11290715,월곡1동
중구,남창동,11140540,회현동
중구,북창동,11140520,소공동
중구,저동1가,11140550,명동
중구,충무로4가,11140590,광희동
중구,충무로4가,11140570,필동
중구,충무로5가,11140590,광희동
동작구,상도동,11590550,상도3동
동작구,상도동,11590540,상도2동
동작구,상도동,11590560,상도4동
동작구,상도1동,11590530,상도1동
동작구,본동,11590510,노량진1동
동작구,흑석동,11590605,흑석동
강남구,역삼동,11680640,역삼1동
종로구,돈의동,11110615,종로1·2·3·4가동
은평구,신사동,11380631,신사1동
은평구,신사동,11380632,신사2동
은평구,증산동,11380640,증산동
은평구,진관동,11380690,진관동
서대문구,충정로2가,11410565,충현동
서대문구,충정로3가,11410565,충현동
서대문구,합동,11410565,충현동
서대문구,미근동,11410565,충현동
서대문구,냉천동,11410520,천연동
서대문구,천연동,11410520,천연동
서대문구,옥천동,11410520,천연동
강서구,마곡동,11500611,발산1동
강서구,마곡동,11500620,공항동
강서구,내발산동,11500611,발산1동
강서구,내발산동,11500615,우장산동
강서구,외발산동,11500611,발산1동
강서구,공항동,11500630,방화1동
강서구,공항동,11500620,공항동
강서구,방화동,11500630,방화1동
강서구,방화동,11500620,공항동
마포구,성산동,11440730,성산2동
마포구,성산동,11440720,성산1동
마포구,중동,11440730,성산2동
마포구,상암동,11440740,상암동
양천구,신정동,11470640,신정3동
양천구,신정동,11470680,신정7동
양천구,신정동,11470670,신정6동
양천구,신정동,11470650,신정4동
양천구,신정동,11470630,신정2동
강남구,일원동,11680730,일원1동
강남구,수서동,11680720,일원본동
강남구,수서동,11680730,일원1동
영등포구,당산동1가,11560550,당산1동
영등포구,당산동2가,11560550,당산1동
영등포구,당산동3가,11560550,당산1동
강북구,번동,11305595,번1동
강북구,수유동,11305625,수유2동
강북구,번동,11305608,번3동
중구,충무로2가,11140550,명동
관악구,신림동,11620695,신림동
관악구,신림동,11620685,신사동
관악구,신림동,11620665,서림동
관악구,신림동,11620655,신원동
관악구,신림동,11620645,서원동
관악구,남현동,11620630,남현동
서초구,내곡동,11650660,내곡동
서대문구,북가좌동,11410720,북가좌2동
노원구,중계동,11350624,중계4동
노원구,중계동,11350619,중계본동
종로구,도렴동,11110530,사직동
종로구,당주동,11110530,사직동
종로구,내수동,11110530,사직동
종로구,세종로,11110515,청운효자동
종로구,세종로,11110530,사직동
종로구,세종로,11110615,종로1·2·3·4가동
동대문구,전농동,11230570,전농2동
동대문구,답십리동,11230600,답십리1동
관악구,신림동,11620745,삼성동
관악구,신림동,11620765,미성동
영등포구,영등포동4가,11560535,영등포동
영등포구,영등포동5가,11560535,영등포동
영등포구,영등포동6가,11560535,영등포동
영등포구,영등포동7가,11560535,영등포동
영등포구,영등포동8가,11560535,영등포동
영등포구,여의도동,11560540,여의동
종로구,연지동,11110630,종로5·6가동
종로구,종로4가,11110615,종로1·2·3·4가동
종로구,숭인동,11110700,숭인1동
용산구,한남동,11170685,한남동
용산구,동빙고동,11170690,서빙고동
용산구,서빙고동,11170690,서빙고동
용산구,이태원동,11170660,이태원2동
구로구,궁동,11530790,수궁동
중구,을지로4가,11140605,을지로동
중구,을지로5가,11140605,을지로동
중구,주교동,11140605,을지로동
중구,방산동,11140605,을지로동
중구,오장동,11140590,광희동
송파구,가락동,11710620,가락본동
송파구,가락동,11710631,가락1동
중구,필동2가,11140570,필동
중구,필동3가,11140570,필동
중구,남학동,11140570,필동
중구,주자동,11140570,필동
중구,예장동,11140550,명동
중구,예장동,11140570,필동
중구,장충동1가,11140580,장충동
중구,장충동2가,11140570,필동
중구,장충동2가,11140580,장충동
중구,광희동1가,11140590,광희동
중구,광희동2가,11140590,광희동
중구,쌍림동,11140590,광희동
성북구,안암동4가,11290600,안암동
성북구,안암동5가,11290600,안암동
성북구,보문동4가,11290610,보문동
성북구,보문동5가,11290610,보문동
서초구,원지동,11650652,양재2동
노원구,중계동,11350625,중계2·3동
은평구,수색동,11380650,수색동
은평구,녹번동,11380510,녹번동
은평구,불광동,11380530,불광2동
은평구,불광동,11380520,불광1동
은평구,갈현동,11380551,갈현1동
종로구,묘동,11110615,종로1·2·3·4가동
종로구,봉익동,11110615,종로1·2·3·4가동
동작구,동작동,11590630,사당2동
동작구,사당동,11590651,사당5동
동작구,사당동,11590650,사당4동
성북구,삼선동4가,11290555,삼선동
성북구,삼선동5가,11290555,삼선동
성북구,동선동1가,11290575,동선동
성북구,동선동2가,11290575,동선동
성북구,동선동3가,11290575,동선동
성북구,동선동4가,11290575,동선동
성북구,동선동5가,11290575,동선동
성북구,안암동1가,11290600,안암동
광진구,자양동,11215830,자양2동
서대문구,연희동,11410615,연희동
서대문구,홍은동,11410685,홍은2동
영등포구,당산동4가,11560560,당산2동
영등포구,당산동5가,11560560,당산2동
종로구,견지동,11110615,종로1·2·3·4가동
종로구,와룡동,11110650,혜화동
중랑구,면목동,11260570,면목7동
중랑구,상봉동,11260580,상봉1동
중랑구,상봉동,11260590,상봉2동
중랑구,중화동,11260610,중화2동
중랑구,중화동,11260600,중화1동
중랑구,묵동,11260630,묵2동
관악구,봉천동,11620605,은천동
관악구,봉천동,11620615,중앙동
관악구,봉천동,11620585,낙성대동
관악구,봉천동,11620525,보라매동
관악구,봉천동,11620545,청림동
관악구,봉천동,11620565,성현동
관악구,봉천동,11620575,행운동
관악구,봉천동,11620595,청룡동
관악구,봉천동,11620625,인헌동
관악구,신림동,11620725,조원동
관악구,신림동,11620735,대학동
서초구,반포동,11650550,반포본동
노원구,상계동,11350700,상계8동
노원구,상계동,11350710,상계9동
노원구,상계동,11350640,상계2동
금천구,시흥동,11545680,시흥2동
금천구,시흥동,11545690,시흥3동
금천구,시흥동,11545700,시흥4동
금천구,시흥동,11545710,시흥5동
송파구,송파동,11710590,송파2동
