district_name,area_km2,park_area_sum,station_count,bus_stop_count,hospital_count,school_count,mart_count,convenience_count,laundry_count,academy_count,park_count,station_density,bus_stop_density,hospital_density,school_density,mart_density,convenience_density,laundry_density,academy_density,park_density,park_area_ratio,academy_official_count,academy_official_density
동대문구,14.277373428467191,0.0,12.0,321,647.0,47.0,375,343,196,1199,0.0,0.8404907289231218,22.483126998693507,45.316458467771646,3.2919220216155605,26.265335278847555,24.024026668385897,13.728015239077656,83.97903199823526,0.0,0.0,733,51.339975358387356
동작구,16.382215187987565,1981505.5,18.0,451,619.0,45.0,251,295,184,1354,9.0,1.0987525065107613,27.529854468686295,37.784877862786736,2.7468812662769033,15.321493285233393,18.007332745593033,11.23169228877667,82.65060521197616,0.5493762532553806,0.12095467415499218,921,56.21950324980062
마포구,23.862254848916326,0.0,22.0,591,795.0,45.0,292,503,207,2606,0.0,0.9219581359470352,24.767148106577174,33.31621445808605,1.885823459891663,12.236898895297013,21.079315562789034,8.67478791550165,109.21013192172609,0.0,0.0,1169,48.98950276918565
서대문구,17.687797702133764,0.0,8.0,461,456.0,40.0,236,300,160,1311,0.0,0.45228920721062527,26.063165565512282,25.780484811005643,2.2614460360531266,13.342531612713445,16.960845270398448,9.045784144212506,74.11889383164122,0.0,0.0,736,41.61060706337753
서초구,46.92055488460324,0.0,19.0,636,1601.0,49.0,265,465,223,3725,0.0,0.40493979763727733,13.554826910384651,34.12150610617268,1.04431842548561,5.647844545993604,9.910368731649156,4.752714467005939,79.38951295783463,0.0,0.0,1816,38.7037196057524
성동구,16.81701647302146,596132.87,20.0,456,495.0,39.0,245,284,142,1193,47.0,1.1892715947614614,27.11539236056132,29.43447197034617,2.3190796097848496,14.568577035827902,16.88765664561275,8.443828322806375,70.94005062752117,2.7947882476894343,0.035448194449731345,577,34.31048550886816
성북구,24.57879913578179,939611.7,14.0,600,561.0,60.0,324,326,208,1559,11.0,0.5695965829192532,24.41128212511085,22.824548786978646,2.441128212511085,13.182092347559859,13.263463287976895,8.462577803371762,63.42864805507969,0.4475401722936989,0.038228543827925024,988,40.19724456601587
송파구,33.85302423606835,2543393.8000000003,30.0,520,1343.0,90.0,418,577,328,3036,39.0,0.8861837509937093,15.360518350557628,39.67149258615172,2.6585512529811277,12.347493597179016,17.044267477445675,9.688942344197889,89.68179560056338,1.1520388762918221,0.0751304752646048,1967,58.10411460682087
양천구,17.462672590997,0.0,8.0,337,700.0,63.0,306,266,175,2381,0.0,0.45812002477355357,19.298306043585946,40.08550216768594,3.6076951950917344,17.523090947588425,15.232490823720656,10.021375541921484,136.34797237322888,0.0,0.0,2106,120.60009652163798
영등포구,24.523722276228575,152850.0,22.0,492,861.0,44.0,476,495,174,1800,16.0,0.8970905701915047,20.062207297010016,35.108862769767526,1.7941811403830095,19.409777791416193,20.18453782930886,7.09517087333281,73.39831937930494,0.6524295055938216,0.006232740620625977,865,35.271970146165984
용산구,21.8926877920418,200434.0,18.0,336,338.0,33.0,228,263,106,883,9.0,0.822192330653122,15.34759017219161,15.438944875597512,1.5073526061973903,10.414436188272878,12.013143497876172,4.84179928051283,40.33310155370593,0.411096165326561,0.009155294311229325,241,11.008241760411245
은평구,29.795671774650703,0.0,14.0,500,724.0,66.0,299,321,201,1505,0.0,0.4698669023435409,16.780960797983603,24.298831235480257,2.215086825333836,10.035014557194195,10.773376832305473,6.745946240789409,50.51069200193065,0.0,0.0,1077,36.14618955885668
종로구,23.990642890832977,1547704.2,15.0,393,475.0,36.0,306,281,90,1083,18.0,0.6252437697587347,16.38138676767885,19.799386042359934,1.5005850474209634,12.754972903078189,11.712899953480298,3.7514626185524085,45.14260017658065,0.7502925237104817,0.06451282723196178,288,12.004680379367707
중구,9.99031721017767,0.0,24.0,228,620.0,31.0,417,356,67,606,0.0,2.4023261218922976,22.82209815797683,62.060091482217686,3.1030045741108845,41.74041636787867,35.63450414140242,6.706493756949331,60.658734577780514,0.0,0.0,161,16.115604401027497
중랑구,18.537445619303043,0.0,15.0,388,584.0,47.0,357,326,210,941,0.0,0.8091729738848431,20.930607591154608,31.503801116583226,2.5354086515058416,19.258316778459267,17.586025965763923,11.328421634387803,50.76211789504249,0.0,0.0,558,30.101234628516163
