admin_code,admin_name,district_name,area_km2,station_count,station_density,bus_stop_count,bus_stop_density,hospital_count,hospital_density,school_count,school_density,mart_count,mart_density,convenience_count,convenience_density,laundry_count,laundry_density,academy_count,academy_density,park_count,park_density,park_area_sum,park_area_ratio
11110640,이화동,종로구,0.7823949005924271,1.0,1.2781269397880826,20,25.562538795761654,13.0,16.615650217245076,2.0,2.556253879576165,11,14.05939633766891,19,24.28441185597357,1,1.2781269397880826,72,92.02513966474196,1.0,1.2781269397880826,5802.0,0.007415692504650456
11110650,혜화동,종로구,1.1324209686765339,0.0,0.0,38,33.55642561477009,27.0,23.842723463126116,7.0,6.181446823773438,22,19.427404303287947,28,24.725787295093753,17,15.012085143449777,97,85.6571917008605,3.0,2.649191495902902,208787.5,0.18437268981694238
11110670,창신1동,종로구,0.3053373119214054,2.0,6.550132990346117,8,26.200531961384467,34.0,111.35226083588398,1.0,3.2750664951730584,22,72.05146289380728,10,32.750664951730585,2,6.550132990346117,20,65.50132990346117,0.0,0.0,0.0,0.0
11110680,창신2동,종로구,0.25732307658279624,0.0,0.0,1,3.8861652568429483,9.0,34.975487311586534,0.0,0.0,10,38.861652568429484,4,15.544661027371793,5,19.430826284214742,10,38.861652568429484,1.0,3.8861652568429483,660.0,0.002564869069516346
11110690,창신3동,종로구,0.21683546209032123,1.0,4.611791772249215,6,27.670750633495288,1.0,4.611791772249215,2.0,9.22358354449843,6,27.670750633495288,3,13.835375316747644,4,18.44716708899686,7,32.28254240574451,1.0,4.611791772249215,2508.0,0.011566373764801031
11110700,숭인1동,종로구,0.23939607832685847,1.0,4.177177867695285,12,50.12613441234342,14.0,58.48049014773398,0.0,0.0,5,20.885889338476424,5,20.885889338476424,3,12.531533603085855,11,45.948956544648134,1.0,4.177177867695285,45615.0,0.1905419684349204
11110710,숭인2동,종로구,0.35190626241095696,0.0,0.0,8,22.73332661144172,19.0,53.99165070217408,0.0,0.0,15,42.62498739645322,20,56.83331652860429,10,28.416658264302146,31,88.09164061933666,1.0,2.841665826430215,8450.0,0.024012076233335313
11140520,소공동,중구,0.94379497934365,3.0,3.1786564515169506,40,42.382086020226005,72.0,76.2877548364068,4.0,4.238208602022601,29,30.727012364663853,48,50.85850322427121,2,2.1191043010113004,51,54.03715967578816,0.0,0.0,0.0,0.0
11140540,회현동,중구,0.8978269250095214,3.0,3.3414012394072334,33,36.75541363347956,63.0,70.16942602755189,0.0,0.0,89,99.12823676908125,34,37.86921404661531,3,3.3414012394072334,31,34.52781280720808,0.0,0.0,0.0,0.0
11140550,명동,중구,0.969729421613493,1.0,1.0312154893023056,30,30.936464679069168,190.0,195.93094296743809,1.0,1.0312154893023056,63,64.96657582604526,71,73.2162997404637,4,4.124861957209222,103,106.21519539813748,0.0,0.0,0.0,0.0
